Organization,Country,SDG Goal,SDG Question,Answer Options,SDG Goal ID,SDG Ques ID,Industry
ABC (abc-cdn),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Information Media And Telecommunications
AGL Energy (agl),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Electricity Gas Water And Waste Services
Aboriginal Medical Service Cooperative Limited (AMSRedfern),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Health Care And Social Assistance
ActewAGL (iconwater),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Electricity Gas Water And Waste Services
Anglo American Australia (angloamerican),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Mining
Australian Health Practitioner Regulation Agency (AHPRA),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Health Care And Social Assistance
Australian Healthcare and Hospitals Association (AHHA),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Health Care And Social Assistance
BHP,AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Mining
Baxter Professional Australia (baxter),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Manufacturing
BossCap,AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Manufacturing
Bravus Mining & Resources (adanienterprises),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Mining
Bupa Health Foundation (bupa),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Health Care And Social Assistance
Calix Limited (calix),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Manufacturing | Mining
Cleanaway,AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Electricity Gas Water And Waste Services
Everhard Industries,AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Manufacturing
Fortescue,AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Mining
Foxtel (newscorp),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Information Media And Telecommunications
Fujitsu Australia (fujitsu),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Manufacturing
GHD Group (ghd),AU,Goal 5. Achieve gender equality and empower all women and girls,"In your organization, what is the percentage of women in managerial positions?",1. I don't know. 2. < 10%. 3. 10% - 19%. 4. 20% - 29%. 5. 30% - 39%. 6. > 39%.,S001,Q001,Electricity Gas Water And Waste Services
