Organization,URL,Error
News Corp Australia (newscorp),https://investors.newscorp.com/static-files/548ea427-f0ec-40ae-8359-d49207151d14,Failed to download or parse PDF after 3 attempts.
Macquarie Media (macquarie),https://macquarietechnologygroup.com/wp-content/uploads/2024/10/MAQ-2024-Annual-Report-to-Shareholders.pdf,Failed to download or parse PDF after 3 attempts.
